title,author,status,engagements,kudos,comments,hits,rating,words,chapters,status_date,additional_tags
<a href='https://archiveofourown.org/works/44056860'>making recipes that are too difficult for me & more</a>,sunsafe,Updated,2679,2186,493,22022,Teen And Up Audiences,10150,4,2023-01-23,"Youtube AU, ava has a bad cooking channel and beatrice is Roommate and Occasional Supervisor of Experiments, and is Beloved ofc, look this is. just silly"
<a href='https://archiveofourown.org/works/43315648'>can't start a fire without a spark</a>,totheflame,Updated,1436,1362,74,9611,Mature,5587,2,2022-12-30,"Pre-Season/Series 02, Switzerland, Pre-Relationship, rated M for future chapters, this has turned into a 5+1 situation"
<a href='https://archiveofourown.org/works/43075803'>don't want the world to turn without you</a>,totheflame,Updated,1355,1241,114,14025,Teen And Up Audiences,13460,3,2022-12-01,"Post-Season/Series 02, Amnesia"
<a href='https://archiveofourown.org/works/43078881'>through the grief can't fight the feeling of relief</a>,moonflowery,Updated,1115,971,144,11233,General Audiences,13597,6,2023-01-08,"Alternate Universe - Canon Divergence, Alternate Universe - Everyone Lives/Nobody Dies, Post-Canon, Fix-It, Returning Home, Hurt/Comfort, Healing, Injury Recovery, Soft Sister Beatrice/Ava Silva, Getting Together, Fluff, Domestic Bliss, Fluff and Hurt/Comfort, they go back to the alps and HEAL and live happily ever after okay?!"
<a href='https://archiveofourown.org/works/44020588'>peach plum pear</a>,lightsaroundyourvanity,Updated,1037,922,115,15104,Explicit,16157,2,2023-01-11,"Alternate Universe - College/University, gangs all here - Freeform, and they're messy af"
<a href='https://archiveofourown.org/works/44634574'>life is for those who live</a>,"itistakingover, spacemanearthgirl",Updated,983,887,96,10199,Teen And Up Audiences,12777,4,2023-02-12,"Avatrice, Fake/Pretend Relationship, Fluff, Set mostly in Switzerland, Beatrice slowly coming to terms with her feelings for Ava through some fake dating fun, Ava likes to flirt"
<a href='https://archiveofourown.org/works/44830579'>the thought of high windows</a>,seabiscuit,Updated,954,842,112,9124,Explicit,17933,2,2023-02-16,"60's AU, under researched and confidently written, going all in on nerdy beatrice, in which I postulate on what cigarettes the warrior nun characters would smoke, sorry hans"
<a href='https://archiveofourown.org/works/44078112'>show me the way home</a>,unicyclehippo,Updated,914,790,124,7327,Teen And Up Audiences,19077,1,2023-01-06,"homophobia internalised and otherwise, Christmas fic, the beach, eventually feat such authorial genius as lilith lurking around being tall & mean & gorgeous, jillian salvius in yet another all white pantsuit looking Fine as Hell, & a fancy xmas party where they get dressed up & pine even tho theyre literally in love, mistletoe even tho i dont know a single person who does it here in aus, yes the first chapter is 19k & its a single conversation proust got NOTHING on me, no halo no nuns au, in case that isn't immediately obvious"
<a href='https://archiveofourown.org/works/43392834'>the art of cohabitation</a>,that_one_urchin,Updated,904,881,23,6176,Mature,4787,1,2022-12-10,"Alternate Universe - Canon Divergence, Sexual Content, Bucket List, featuring ava silva's grand well of THIRST, gratuitous appreciation of beatrice's back muscles, switzerland fluff"
<a href='https://archiveofourown.org/works/43767385'>Sudden Desire</a>,LyricalDisaster,Updated,848,823,25,9582,Explicit,11481,1,2022-12-22,"Fluff and Smut, Smut, Drunk Sex, Top Beatrice, Bratty Bottom Ava, They Flip Flop, Lesbian Sex, Sex, Oral Sex, Ava Silva has a Praise Kink, Love Confessions, Gay Mess Sister Beatrice (Warrior Nun), Canon Bisexual Character, Canon Lesbian Character"
"<a href='https://archiveofourown.org/works/25933882'>Faith, Hope, and Love</a>",Shia_NoBuff,Updated,831,760,71,10575,Teen And Up Audiences,19102,9,2023-02-12,"Friendship, Single Parent Ava Silva, i need more ava and diego, also camilil, Single Parent AU, it's also kinda a coffee shop au, Femslash, Ava's kind of a mess, but she makes it work, Homophobia, Confessions, Holidays, Other Additional Tags to Be Added"
<a href='https://archiveofourown.org/works/44355745'>Keep Your Arms In</a>,sunsafe,Updated,789,680,109,4680,General Audiences,2556,1,2023-01-17,do a flip extended cinematic universe i guess
<a href='https://archiveofourown.org/works/44626498'>favourable conditions</a>,sunsafe,Updated,775,585,190,4002,Teen And Up Audiences,6804,2,2023-02-05,"beatrice chases pirates (part time) and longs for ava (full time), but ava is the severely off-limits governor's niece, and eventually ava is like fck this noise i'll just be a pirate then, i'll run away first and you can run after me"
<a href='https://archiveofourown.org/works/25161700'>Sacrilegious</a>,AhmBacon,Updated,770,739,31,13023,Not Rated,11208,4,2022-11-28,"Avarice, Avatrice, gay angst"
<a href='https://archiveofourown.org/works/25537798'>But I Knew You</a>,SaranaraLee,Updated,765,705,60,5341,Teen And Up Audiences,4346,2,2022-11-26,"College AU, Underage Drinking, Fluff, Just regular college kids, Ava is the chaotic one and Beatrice is the reasonable one, Mostly just avatrice and brief appearances by other characters"
<a href='https://archiveofourown.org/works/44036800'>wasteland swallowed</a>,sunsafe,Updated,718,654,64,3703,Teen And Up Audiences,4057,1,2023-01-03,"vampire au ish, we're intertwining catholic guilt and gay guilt for the drama, beatrice will not drink blood (repression reasons), and ava is like. ok yes but consider this. im super available and super into you, it's just them meeting up across europe for 200 years and being gay about it"
<a href='https://archiveofourown.org/works/44341795'>catching feelings</a>,burningblade,Updated,702,645,57,9324,Explicit,16706,7,2023-02-12,"Alternate Universe - Online Dating, Alternate Universe - Soulmates, Soulmate-Identifying Marks, tinder (bumble) + soulmates au, Alternate Universe - No Powers, how many aus can i shove into one fic? let's find out, beatrice/lilith brotp, horny ava rights, Praise Kink, ...that will be explored later"
<a href='https://archiveofourown.org/works/43315059'>Mirrorball</a>,inkedghost,Updated,639,545,94,8195,Mature,14458,9,2022-12-24,"Alternate Universe - Hospital, Friends With Benefits, Mutual Pining, Angst, Casual Sex, Friends to Lovers"
<a href='https://archiveofourown.org/works/43116117'>Just for The Night</a>,lesbiandisaster23,Updated,639,579,60,5894,Not Rated,4162,4,2023-02-14,"Avatrice, ava x beatrice, wlw, WLW Couple"
<a href='https://archiveofourown.org/works/44670457'>all the way down her spine</a>,littlepacketofchips,Updated,622,552,70,5264,Explicit,5009,1,2023-01-31,"Alternate Universe - 1990s, you don't have to read the 80s au to read this, but it is a sequel"
